Corp ID,Corp Name,"ELA
Pass N","ELA
Test N","ELA
Pass Percent","Math
Pass N","Math
Test N","Math
Pass Percent","Both Math and ELA
Pass N","Both Math and ELA
Test N","Both Math and ELA
Pass Percent","ELA
Pass N","ELA
Test N","ELA
Pass Percent","Math
Pass N","Math
Test N","Math
Pass Percent","Both Math and ELA
Pass N","Both Math and ELA
Test N","Both Math and ELA
Pass Percent",Total Pass
9365,Enlace Academy,9,15,60.0%,7,15,46.7%,5,15,33.3%,75,207,36.2%,76,211,36.0%,52,206,25.2%,57
9380,Christel House Academy South,18,28,64.3%,12,28,42.9%,10,28,35.7%,167,290,57.6%,154,290,53.1%,114,289,39.4%,124
9400,KIPP Indy College Prep Middle,5,19,26.3%,3,19,15.8%,1,18,5.6%,90,238,37.8%,71,237,30.0%,46,237,19.4%,47
9425,Tindley Genesis Academy,14,18,77.8%,13,18,72.2%,12,18,66.7%,51,73,69.9%,42,73,57.5%,38,73,52.1%,50
9430,Tindley Summit Academy,9,17,52.9%,3,17,17.6%,2,17,11.8%,39,93,41.9%,23,92,25.0%,20,92,21.7%,22
9460,Thea Bowman Leadership Academy,40,85,47.1%,32,85,37.6%,29,85,34.1%,154,369,41.7%,82,372,22.0%,63,369,17.1%,92
9465,Rural Community Schools Inc,20,31,64.5%,22,31,71.0%,19,31,61.3%,40,65,61.5%,36,65,55.4%,28,65,43.1%,47
9485,SE Neighborhood Sch of Excellence,20,42,47.6%,17,42,40.5%,13,42,31.0%,121,308,39.3%,92,311,29.6%,62,307,20.2%,75
9490,Indiana College Preparatory School,9,23,39.1%,5,24,20.8%,4,22,18.2%,22,74,29.7%,6,77,7.8%,4,69,5.8%,8
9545,21st Century Charter Sch of Gary,7,10,70.0%,5,10,50.0%,5,10,50.0%,163,381,42.8%,102,384,26.6%,76,380,20.0%,81
9555,East Chicago Urban Enterprise Acad,31,65,47.7%,19,65,29.2%,14,65,21.5%,110,209,52.6%,68,209,32.5%,56,209,26.8%,70
9575,Indpls Lighthouse Charter School,,,,,,,,,,201,450,44.7%,221,450,49.1%,136,449,30.3%,136
9615,Andrew J Brown Academy,9,21,42.9%,10,21,47.6%,8,21,38.1%,138,347,39.8%,123,347,35.4%,84,347,24.2%,92
9620,Burris Laboratory School,206,238,86.6%,192,237,81.0%,177,237,74.7%,55,80,68.8%,48,80,60.0%,37,80,46.3%,214
9645,Avondale Meadows Academy,36,63,57.1%,34,62,54.8%,28,62,45.2%,69,147,46.9%,39,149,26.2%,26,146,17.8%,54
9665,Geist Montessori Academy,146,200,73.0%,105,203,51.7%,97,200,48.5%,8,20,40.0%,6,20,30.0%,5,20,25.0%,102
9680,Paramount School Of Excellence Inc,44,52,84.6%,44,52,84.6%,40,52,76.9%,336,385,87.3%,334,386,86.5%,310,385,80.5%,350
9685,Aspire Charter Academy,16,38,42.1%,13,38,34.2%,12,38,31.6%,172,383,44.9%,116,386,30.1%,96,383,25.1%,108
9690,Renaissance Academy Charter School,88,115,76.5%,73,114,64.0%,70,114,61.4%,19,29,65.5%,16,28,57.1%,13,28,46.4%,83
9705,Hammond Academy of Science & Tech,53,72,73.6%,27,72,37.5%,25,72,34.7%,111,178,62.4%,51,178,28.7%,46,178,25.8%,71
9710,Carpe Diem - Northwest,3,14,21.4%,0,16,0.0%,0,14,0.0%,16,55,29.1%,8,57,14.0%,5,54,9.3%,5
9725,Canaan Community Academy,6,22,27.3%,11,23,47.8%,5,22,22.7%,8,27,29.6%,4,27,14.8%,4,27,14.8%,9
9735,Inspire Academy - A Sch of Inquiry,11,25,44.0%,10,25,40.0%,9,25,36.0%,23,80,28.8%,21,80,26.3%,16,80,20.0%,25
9740,Thurgood Marshall Leadership Acad,,,,,,,,,,8,52,15.4%,5,52,9.6%,5,52,9.6%,5
9745,Tindley Preparatory Academy,30,31,96.8%,25,31,80.6%,25,31,80.6%,63,94,67.0%,52,94,55.3%,43,94,45.7%,68
9770,Indianapolis Lighthouse East,,,,,,,,,,24,96,25.0%,7,98,7.1%,6,96,6.3%,6
9785,IN Math & Science Academy,10,21,47.6%,12,21,57.1%,6,21,28.6%,160,326,49.1%,132,326,40.5%,110,326,33.7%,116
9790,Anderson Preparatory Academy,78,132,59.1%,69,133,51.9%,53,132,40.2%,73,184,39.7%,57,184,31.0%,41,183,22.4%,94
9805,Hoosier Academy - Indianapolis,9,14,64.3%,6,14,42.9%,5,14,35.7%,44,75,58.7%,28,77,36.4%,28,75,37.3%,33
9835,The Bloomington Project School,105,136,77.2%,98,136,72.1%,89,136,65.4%,46,59,78.0%,46,60,76.7%,41,59,69.5%,130
9865,Hoosier Acad Virtual Charter,27,45,60.0%,22,45,48.9%,19,44,43.2%,188,443,42.4%,111,445,24.9%,97,442,21.9%,116
9870,Discovery Charter School,206,237,86.9%,193,237,81.4%,184,237,77.6%,48,67,71.6%,39,67,58.2%,35,67,52.2%,219
9875,Rock Creek Community Academy,127,186,68.3%,117,185,63.2%,101,185,54.6%,32,49,65.3%,23,47,48.9%,20,47,42.6%,121
9890,Indiana Virtual School,89,180,49.4%,35,181,19.3%,34,176,19.3%,45,98,45.9%,25,98,25.5%,17,98,17.3%,51
9895,IN Math & Science Academy - North,10,23,43.5%,7,23,30.4%,5,23,21.7%,101,264,38.3%,78,262,29.8%,59,262,22.5%,64
9905,Indiana Connections Academy,455,657,69.3%,273,661,41.3%,255,657,38.8%,355,694,51.2%,180,704,25.6%,155,693,22.4%,410
9925,Phalen Leadership Academy - IN Inc,15,22,68.2%,18,22,81.8%,12,22,54.5%,66,100,66.0%,58,100,58.0%,47,100,47.0%,59
9935,Vision Academy,11,19,57.9%,4,18,22.2%,4,18,22.2%,81,240,33.8%,48,245,19.6%,34,239,14.2%,38
